finalserialno,region,Constit_Code,Constit_Name,Interview_Date,total_num_dwel,total_num_hous,num_elig_people,turnoutValidationReg,Age,a01,a02,a03,e01,k01,k02,k03,k11,k13,k06,k08,y01,y03,y06,y07,y08,y09,y11,y17,y18
56125,South West,Weston-Sup,E14001038,26/07/2017,1,1,1,Voted,,Brexit - nobody understands it and that includes the government (uncertainty),Conservatives,Fairly interested,6,7,Yes,Telegraph,No,Yes,No,No,Refused,Own home outright,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56201,South West,Weston-Sup,E14001038,12/07/2017,1,1,2,Voted,64.0,"Health and social care - it's underfunded, understaffed and in danger of losing more because of Brexit",Labour,Very interested,3,8,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 60,000 - GBP 74,999",Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56202,South West,Weston-Sup,E14001038,10/08/2017,1,1,2,Voted,41.0,"The government - Theresa May is rubbish - there should have been no agreement with the DUP, successive Tory led governments have  been screwing the country.",Labour,Very interested,2,9,Yes,Guardian/Observer,No,Yes,Yes,Yes,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
56205,South West,Weston-Sup,E14001038,19/07/2017,1,1,2,,53.0,Brexit - Idon't want to leave the Eu - it just puts jobs and the economy at risk.,None/No party,Very interested,5,8,Yes,Guardian/Observer,No,Yes,Yes,No,"GBP 60,000 - GBP 74,999",Own home outright,Church of England/ Anglican/Episcopal,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56217,South West,Weston-Sup,E14001038,12/07/2017,1,1,1,Voted,59.0,overpopulation - the population  of the country has  more than doubled in my lifetime and I dn't think that is sustainable,None/No party,Fairly interested,6,5,No,,No,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least once a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56218,South West,Weston-Sup,E14001038,19/07/2017,1,1,2,Voted,72.0,"Brexit - we've got to get on with it, the decision has been made.",Conservatives,Fairly interested,5,5,No,,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,Church of England/ Anglican/Episcopal,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56220,South West,Weston-Sup,E14001038,15/07/2017,1,1,2,Voted,71.0,"we've become a racially prejudice nation - society has become fractured. Brexit divided the country, indyref, nationalist movements, seperatism.",None/No party,Very interested,5,5,No,,No,Yes,No,No,"GBP 60,000 - GBP 74,999",Own home outright,Christian - no denomination,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56304,Wales,Arfon,W07000057,15/07/2017,1,1,1,,26.0,the torys joining the dup,Conservatives,Fairly interested,5,4,No,,Yes,Yes,Yes,Yes,"GBP 20,800 - GBP 25,999",Rented from local authority,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,A full time student or pupil,Yes
56315,Wales,Arfon,W07000057,03/08/2017,1,1,2,,35.0,"Low income levels, unable to leave my children to go out to work for such a low income",Don`t know,Fairly interested,Don`t know,2,No,,Yes,No,No,Yes,"GBP 5,200 - GBP 10,399",Rented from local authority,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
56316,Wales,Arfon,W07000057,14/07/2017,1,1,1,,36.0,national health,Don`t know,Not at all interested,5,5,No,,No,No,No,Yes,"GBP 20,800 - GBP 25,999",It belongs to a Housing Association,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
56319,Wales,Arfon,W07000057,14/07/2017,1,1,2,,45.0,NHS,Labour,Fairly interested,Don`t know,5,No,,Yes,No,Yes,Yes,"GBP 31,200 - GBP 36,399",Own home on mortgage,Methodist,Less often,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56320,Wales,Arfon,W07000057,14/07/2017,1,1,2,,33.0,LOW JOBS,None/No party,Not at all interested,3,1,No,,Yes,No,No,Yes,"GBP 26,000 - GBP 31,199",It belongs to a Housing Association,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
56321,Wales,Arfon,W07000057,07/08/2017,1,1,1,,75.0,brixit,Conservatives,Not at all interested,6,3,No,,No,No,No,No,"GBP 5,200 - GBP 10,399",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56323,Wales,Arfon,W07000057,18/07/2017,1,1,1,,47.0,"what will the future hold for our children, terrorism and brexit",Don`t know,Fairly interested,5,5,No,,Yes,No,No,Yes,"GBP 20,800 - GBP 25,999",Rented from local authority,Christian - no denomination,Never or practically never,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
56324,Wales,Arfon,W07000057,20/07/2017,1,1,2,,24.0,"HEALTHCARE/cut to the nhs, privetisation. longer waiting times",Labour,Very interested,9,7,Yes,Guardian/Observer,Yes,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Own home on mortgage,No religion,,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56405,Wales,Arfon,W07000057,20/07/2017,1,1,2,,79.0,BREXIT,None/No party,Fairly interested,5,5,Yes,Mail,Yes,Yes,No,No,Refused,Own home outright,Christian - no denomination,Less often but at least once in two weeks,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56415,Wales,Arfon,W07000057,15/08/2017,1,1,3,Voted,56.0,BREXIT,None/No party,Very interested,5,10 Pay a great deal of attention,Yes,Other,Yes,Yes,Yes,Yes,"GBP 60,000 - GBP 74,999",Own home on mortgage,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56418,Wales,Arfon,W07000057,03/08/2017,1,1,1,,80.0,"THAT THEY FOLLOW THE PEOPLE CHOICE OF BREXIT, AND NOT TO GIVE IN TO THE DEMANDS OF EUROPE/ PEOPLE WORKING FOR PENNIES, OUR COUNTRY IS WORST OFF SINCE THE EU POLICE And no food bank then, plus drugs and people sleeing on the streets",Conservatives,Very interested,3,10 Pay a great deal of attention,Yes,Financial Times,No,No,No,No,Refused,Own home outright,Christian - no denomination,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56419,Wales,Arfon,W07000057,25/07/2017,1,1,1,Voted,,immigration,Conservatives,Fairly interested,10 Right,8,Yes,Times,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home outright,Roman Catholic,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56421,Wales,Arfon,W07000057,25/07/2017,1,1,2,Voted,67.0,IMMIGRATION,Conservatives,Not very interested,3,0 Pay no attention,No,,Yes,Yes,No,No,"GBP 20,800 - GBP 25,999",Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56422,Wales,Arfon,W07000057,01/08/2017,1,1,2,Voted,43.0,"divissions within society/class, within culture, within location",Plaid Cymru,Fairly interested,4,7,Yes,Guardian/Observer,No,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Own home on mortgage,Christian - no denomination,Less often but at least once a month,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
56423,Wales,Arfon,W07000057,22/09/2017,1,1,3,,24.0,TERRORISM,Labour,Fairly interested,0 Left,5,No,,No,Yes,Yes,No,"GBP 75,000 - GBP 99,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56515,Wales,Blaenau Gw,W07000072,09/07/2017,1,1,1,Not voted-registered,49.0,employment,None/No party,Not very interested,5,3,No,,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",It belongs to a Housing Association,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
56517,Wales,Blaenau Gw,W07000072,03/08/2017,1,1,2,Not voted-registered,39.0,immigration.,Don`t know,Not at all interested,5,1,No,,No,No,No,No,Don`t know,Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
56520,Wales,Blaenau Gw,W07000072,14/07/2017,1,1,2,Not voted-registered,34.0,terrorism,Don`t know,Fairly interested,5,4,No,,No,Yes,No,Yes,"GBP 31,200 - GBP 36,399",Own home on mortgage,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56521,Wales,Blaenau Gw,W07000072,21/07/2017,1,1,2,Voted,58.0,immigrants. too many,None/No party,Not at all interested,2,1,No,,No,Yes,No,Yes,"GBP 26,000 - GBP 31,199",It belongs to a Housing Association,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
56522,Wales,Blaenau Gw,W07000072,13/07/2017,1,1,2,Voted,47.0,young kids cant get a mortgage,Labour,Not at all interested,5,1,No,,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56523,Wales,Blaenau Gw,W07000072,13/07/2017,1,1,2,,47.0,immigrants taking jobs,Don`t know,Not very interested,5,1,No,,No,Yes,No,No,"GBP 45,000 - GBP 49,999",Own home outright,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56524,Wales,Blaenau Gw,W07000072,12/09/2017,1,1,3,Voted,66.0,Brexit P. The immigration more than anything. Too many coming in that weve got to provide for.,Don`t know,Very interested,6,6,Yes,Express,Yes,Yes,No,Yes,"GBP 10,400 - GBP 15,599",Own home outright,Methodist,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56525,Wales,Blaenau Gw,W07000072,08/09/2017,1,1,2,Voted,65.0,"The job situation for younger people. P People are not getting full time, it is zero hours or 16 hours. Our own family have found it hard. There are too many agencies.",None/No party,Not very interested,8,6,No,,No,Yes,No,Yes,Don`t know,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56616,Wales,Blaenau Gw,W07000072,09/07/2017,1,1,2,Voted,29.0,lack of jobs,None/No party,Fairly interested,5,5,No,,No,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
56617,Wales,Blaenau Gw,W07000072,21/07/2017,1,1,2,Voted,42.0,brexit. feel it will cause problems being out of the eu.,Labour,Very interested,5,5,No,,Yes,Yes,No,Yes,Don`t know,Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because temporarily sick or injured,Yes
56620,Wales,Blaenau Gw,W07000072,13/07/2017,1,1,1,Voted,60.0,"brexit. will it happen as perscribed, when we were given the info at the time of the poll",United Kingdom Independence Party (UKIP),Very interested,7,9,Yes,Mail,No,Yes,No,No,"GBP 10,400 - GBP 15,599",Own home outright,Christian - no denomination,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56621,Wales,Blaenau Gw,W07000072,13/07/2017,1,1,1,Voted,36.0,too much bad feeling in the country,Plaid Cymru,Fairly interested,1,5,No,,Yes,Yes,No,Yes,"GBP 5,200 - GBP 10,399",Own home on mortgage,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Unemployed and actively seeking work,Yes
56622,Wales,Blaenau Gw,W07000072,14/07/2017,1,1,2,Not voted-unregistered,24.0,Terrorism,Don`t know,Not at all interested,3,0 Pay no attention,No,,Yes,No,Yes,Yes,Don`t know,Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
56623,Wales,Blaenau Gw,W07000072,16/07/2017,1,1,1,Voted,25.0,terrorism,Labour,Fairly interested,3,6,Yes,Telegraph,Yes,Yes,No,Yes,"GBP 15,600 - GBP 20,799",Rented from private landlord,Christian - no denomination,Less often but at least once in two weeks,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56624,Wales,Blaenau Gw,W07000072,19/07/2017,1,1,1,,26.0,"muslim crisis, re terrorism",Labour,Fairly interested,3,5,Yes,Sun,No,Yes,No,No,"GBP 26,000 - GBP 31,199",Rented from private landlord,Christian - no denomination,Less often but at least once a year,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
56625,Wales,Blaenau Gw,W07000072,16/07/2017,1,1,2,Not voted-registered,66.0,brexit,Conservatives,Not very interested,7,5,No,,No,Yes,No,Yes,"GBP 20,800 - GBP 25,999",Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
56915,Wales,Cardiff Ce,W07000050,10/07/2017,1,1,2,Not voted-unregistered,24.0,RACISM (P) Religious beliefs,Don`t know,Fairly interested,3,6,Yes,Other,No,Yes,Yes,Yes,"GBP 40,000 - GBP 44,999",Rented from private landlord,Roman Catholic,Less often but at least twice a year,No,Male,Irish,Working full time -  employee (30+ hours),
56919,Wales,Cardiff Ce,W07000050,09/07/2017,1,1,2,Not voted-unregistered,20.0,Brexit. Education and immigration in Brexit.,Liberal Democrats,Fairly interested,Don`t know,6,Yes,Independent/The i,No,Yes,Yes,Yes,Don`t know,Rented from private landlord,Church of England/ Anglican/Episcopal,Never or practically never,Yes: staff association,Male,Chinese,Working full time -  employee (30+ hours),
56924,Wales,Cardiff Ce,W07000050,15/07/2017,1,1,1,Not voted-unregistered,25.0,Brexit. p) impact on the economy which is impossible to predict,Conservatives,Not very interested,5,5,Yes,Guardian/Observer,No,Yes,No,Yes,"GBP 2,600 - GBP 5,199",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,A full time student or pupil,Yes
57015,Wales,Cardiff Ce,W07000050,28/07/2017,1,1,2,Voted,19.0,Brexit. P CHANGING the currency value. I have lost my old job because of it.P,Labour,Fairly interested,3,4,No,,Yes,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Rented from private landlord,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57017,Wales,Cardiff Ce,W07000050,10/07/2017,1,1,2,Voted,23.0,"How we are going to Brexit easily without too much disruption. (P) Our future as a nation, cost of things trade between EU and us, small businesses.",Labour,Fairly interested,1,6,Yes,Telegraph,Yes,Yes,No,Yes,"GBP 5,200 - GBP 10,399",Rented from private landlord,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57018,Wales,Cardiff Ce,W07000050,15/07/2017,1,1,1,Not voted-unregistered,22.0,Terrorism. How to prevent attacks.,Labour,Fairly interested,3,7,Yes,Mail,No,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57020,Wales,Cardiff Ce,W07000050,09/07/2017,1,1,7,Voted,22.0,Eu and Brexit. We have been talking about it a lot and terror too. Brexit - how that will change our ability to work abroad and immigration laws,Labour,Fairly interested,3,7,No,,Yes,Yes,Yes,Yes,"GBP 40,000 - GBP 44,999",Rented from private landlord,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,A full time student or pupil,Yes
57025,Wales,Cardiff Ce,W07000050,09/07/2017,1,1,1,Not voted-unregistered,22.0,Brexit. It is dangerous that the nation is split and we might not get the best deal. So the economy really.,Don`t know,Not very interested,Don`t know,5,No,,Yes,Yes,Yes,Yes,"GBP 15,600 - GBP 20,799",Rented from private landlord,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57026,Wales,Cardiff Ce,W07000050,13/07/2017,1,1,3,Not voted-unregistered,22.0,Brexit (p) immigration,Conservatives,Fairly interested,6,5,No,,No,Yes,Yes,Yes,Don`t know,Rented from private landlord,Islam/Muslim,Less often but at least once in two weeks,No,Female,Refused,A full time student or pupil,No
57116,Wales,Cardiff We,W07000079,14/07/2017,1,1,2,Voted,79.0,brexit,Conservatives,Fairly interested,5,5,No,,Yes,Yes,No,Yes,Don`t know,Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57119,Wales,Cardiff We,W07000079,16/07/2017,1,1,2,Not voted-unregistered,18.0,nothing,None/No party,Fairly interested,5,3,No,,Yes,No,No,Yes,"GBP 15,600 - GBP 20,799",Rented from local authority,Roman Catholic,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
57120,Wales,Cardiff We,W07000079,30/07/2017,1,1,1,Voted,67.0,overpopulation,Don`t know,Not at all interested,Don`t know,1,No,,Yes,Yes,No,No,"GBP 2,600 - GBP 5,199",Rented from local authority,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,No
57124,Wales,Cardiff We,W07000079,22/09/2017,1,1,1,Voted,34.0,"Poverty, people struggling, with the benfit caps",Labour,Fairly interested,2,1,No,,Yes,Yes,Yes,Yes,"GBP 10,400 - GBP 15,599",Rented from local authority,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Not working because temporarily sick or injured,Yes
57125,Wales,Cardiff We,W07000079,13/07/2017,1,1,2,,78.0,brexit,Conservatives,Not very interested,10 Right,1,Yes,Sun,No,Yes,No,No,Don`t know,Own home outright,No religion,,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57210,Wales,Cardiff We,W07000079,17/07/2017,1,1,1,Voted,41.0,brexit,Labour,Very interested,4,7,Yes,Guardian/Observer,Yes,Yes,Yes,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57215,Wales,Cardiff We,W07000079,23/07/2017,1,1,1,Voted,46.0,poverty,Plaid Cymru,Fairly interested,3,7,Yes,Independent/The i,No,Yes,Yes,Yes,"GBP 20,800 - GBP 25,999",Rented from private landlord,Christian - no denomination,Less often but at least twice a year,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57218,Wales,Cardiff We,W07000079,17/07/2017,1,1,1,,54.0,brexit,Liberal Democrats,Very interested,0 Left,10 Pay a great deal of attention,Yes,Guardian/Observer,Yes,Yes,No,No,"GBP 36,400 - GBP 39,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Not working because temporarily sick or injured,Yes
57221,Wales,Cardiff We,W07000079,05/08/2017,1,1,1,Voted,51.0,brexit,United Kingdom Independence Party (UKIP),Fairly interested,5,8,Yes,Mail,Yes,Yes,Yes,Yes,"GBP 20,800 - GBP 25,999",Own home on mortgage,Christian - no denomination,Less often but at least once in two weeks,No,Female,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57222,Wales,Cardiff We,W07000079,25/07/2017,1,1,3,Voted,55.0,brexit,None/No party,Very interested,2,9,Yes,Guardian/Observer,No,Yes,No,No,"GBP 60,000 - GBP 74,999",Own home on mortgage,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
57223,Wales,Cardiff We,W07000079,21/09/2017,1,1,2,Not voted-registered,46.0,"Terrorists, because I don't feel that they have specific definition",Don`t know,Very interested,Don`t know,10 Pay a great deal of attention,Yes,Financial Times,Yes,Yes,No,Yes,"GBP 2,600 - GBP 5,199",It belongs to a Housing Association,Islam/Muslim,Once a week or more,No,Male,Refused,Working full time -  employee (30+ hours),
57302,Wales,Clwyd West,W07000059,22/07/2017,1,1,2,Voted,32.0,Terrorist attacks,Labour,Fairly interested,5,6,No,,No,Yes,No,Yes,"GBP 31,200 - GBP 36,399",It belongs to a Housing Association,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57315,Wales,Clwyd West,W07000059,19/07/2017,1,1,2,Voted,29.0,Brexit and the chaos in parliament,Labour,Very interested,1,7,Yes,Mail,Yes,Yes,Yes,Yes,"GBP 50,000 - GBP 59,999",Rented from private landlord,Islam/Muslim,Less often but at least once a month,Yes: staff association,Female,White and Asian,Working part time - employee (8-29 hours),
57317,Wales,Clwyd West,W07000059,14/07/2017,1,1,1,Voted,87.0,The NHS,Labour,Very interested,1,10 Pay a great deal of attention,No,,Yes,Yes,No,No,"GBP 5,200 - GBP 10,399",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57318,Wales,Clwyd West,W07000059,10/07/2017,1,1,2,Not voted-registered,29.0,Terrorism,Don`t know,Not very interested,5,2,No,,Yes,Yes,No,Yes,"GBP 26,000 - GBP 31,199",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57319,Wales,Clwyd West,W07000059,14/07/2017,1,1,1,Voted,83.0,The NHS and its employees,All of them/ more than one,Very interested,5,8,No,,Yes,Yes,No,No,"GBP 2,600 - GBP 5,199",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57322,Wales,Clwyd West,W07000059,20/07/2017,1,1,2,Voted,45.0,Immigration,Labour,Not very interested,0 Left,5,No,,No,Yes,No,Yes,"GBP 10,400 - GBP 15,599",It belongs to a Housing Association,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
57403,Wales,Clwyd West,W07000059,13/07/2017,1,1,1,Voted,60.0,Brexit,Conservatives,Very interested,3,10 Pay a great deal of attention,Yes,Other,No,No,No,Yes,"GBP 100,000 or more",Own home outright,Roman Catholic,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working part time - self-employed (8-29 hours),
57408,Wales,Clwyd West,W07000059,22/07/2017,1,1,1,Voted,55.0,Stability and economic growth,Conservatives,Fairly interested,7,6,No,,No,Yes,No,No,"GBP 45,000 - GBP 49,999",Own home outright,Christian - no denomination,Less often,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time - self-employed (30+ hours),
57416,Wales,Clwyd West,W07000059,20/07/2017,1,1,1,Not voted-registered,79.0,Brexit,None/No party,Fairly interested,8,5,No,,Yes,Yes,No,Yes,Refused,Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57419,Wales,Clwyd West,W07000059,20/07/2017,1,1,2,Voted,45.0,Brexit,Conservatives,Not very interested,8,6,No,,No,Yes,No,Yes,"GBP 20,800 - GBP 25,999",Rented from private landlord,No religion,,Yes: trade union,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57420,Wales,Clwyd West,W07000059,22/07/2017,1,1,1,Voted,69.0,Greed,None/No party,Not very interested,0 Left,6,Yes,Any other regional paper,Yes,Yes,No,No,"GBP 15,600 - GBP 20,799",Rented from local authority,Other non-Christian,Once a week or more,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57421,Wales,Clwyd West,W07000059,13/07/2017,1,1,1,Voted,88.0,Leaving the common market - Brexit,Conservatives,Fairly interested,8,9,Yes,Telegraph,No,No,No,No,"GBP 20,800 - GBP 25,999",Own home outright,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57716,Wales,Delyn,W07000042,21/07/2017,1,1,1,Voted,72.0,brexit,Conservatives,Fairly interested,7,7,Yes,Mail,No,Yes,No,No,"Under GBP 2,600",Own home outright,Christian - no denomination,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57717,Wales,Delyn,W07000042,19/07/2017,1,1,1,Voted,63.0,brexit,Labour,Fairly interested,5,6,Yes,Mirror/Record,No,Yes,No,Yes,"Under GBP 2,600",Own home outright,Church of England/ Anglican/Episcopal,Never or practically never,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57718,Wales,Delyn,W07000042,17/07/2017,1,1,1,,78.0,brexit,Conservatives,Fairly interested,7,6,Yes,Mail,No,Yes,No,No,Refused,Own home outright,Presbyterian/Church of Scotland,Less often but at least once a month,Yes: staff association,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57719,Wales,Delyn,W07000042,27/07/2017,1,1,2,Not voted-unregistered,24.0,nhs,None/No party,Very interested,2,7,Yes,Mail,No,Yes,No,Yes,"Under GBP 2,600",Rented from private landlord,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57720,Wales,Delyn,W07000042,19/07/2017,1,1,2,Voted,60.0,nhs,Labour,Fairly interested,0 Left,8,Yes,Mail,No,Yes,No,No,"GBP 45,000 - GBP 49,999",Own home outright,Roman Catholic,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
57724,Wales,Delyn,W07000042,17/07/2017,1,1,1,,89.0,NHS,Labour,Not very interested,3,5,No,,No,Yes,No,No,"Under GBP 2,600",Own home outright,Church of England/ Anglican/Episcopal,Less often,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57816,Wales,Delyn,W07000042,17/07/2017,1,1,2,,37.0,immigration,None/No party,Fairly interested,7,4,No,,No,Yes,No,Yes,"GBP 40,000 - GBP 44,999",Own home on mortgage,Church of England/ Anglican/Episcopal,Never or practically never,Yes: trade union,Female,English/Welsh/Scottish/Northern Irish/British,Working part time - employee (8-29 hours),
57819,Wales,Delyn,W07000042,29/07/2017,1,1,2,,27.0,nhs,Conservatives,Fairly interested,5,4,Yes,Mirror/Record,No,Yes,Yes,Yes,"GBP 45,000 - GBP 49,999",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
57822,Wales,Delyn,W07000042,14/07/2017,1,1,3,,46.0,immigration,Don`t know,Not at all interested,5,2,No,,Yes,No,No,Yes,Refused,Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Looking after the family or home,Yes
57825,Wales,Delyn,W07000042,14/07/2017,1,1,3,Voted,68.0,child poverty,Labour,Not at all interested,3,3,No,,No,No,No,No,"GBP 5,200 - GBP 10,399",Own home outright,Roman Catholic,Never or practically never,No,Female,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57915,Wales,Montgomery,W07000063,17/07/2017,1,1,1,Not voted-unregistered,64.0,muslin problem - no go areas in major cities and have segregated themselves of from the rest of the country and the way they treat women,Conservatives,Very interested,4,10 Pay a great deal of attention,Yes,Mail,No,Yes,Yes,Yes,"GBP 5,200 - GBP 10,399",It belongs to a Housing Association,Christian - no denomination,Once a week or more,No,Male,English/Welsh/Scottish/Northern Irish/British,Retired from paid work,Yes
57918,Wales,Montgomery,W07000063,14/07/2017,1,1,2,Not voted-unregistered,61.0,the Brexit issue people have voted that should finish it,Conservatives,Not very interested,5,3,Yes,Sun,Yes,Yes,No,No,"GBP 26,000 - GBP 31,199",Own home on mortgage,No religion,,No,Male,English/Welsh/Scottish/Northern Irish/British,Working full time -  employee (30+ hours),
